    名称,所属行业,代码
移为通信,通信设备,300590
怡达股份,化学制品,300721
华绿生物,种植业与林业,300970
安诺其,化学制品,300067
旗天科技,文化传媒,300061
佳华科技,IT服务,688051
线上线下,通信服务,300959
铜牛信息,通信服务,300895
贝达药业,化学制药,300558
杭州园林,建筑装饰,300649
盛科通信-U,半导体,688702
美新科技,塑料制品,301588
西部牧业,饮料制造,300106
东望时代,电力,600052
节能风电,电力,601016
综艺股份,综合,600770
齐心集团,家居用品,002301
通达电气,汽车零部件,603390
九阳股份,小家电,002242
中源家居,家居用品,603709
福鞍股份,环境治理,603315
德龙汇能,燃气,000593
中衡设计,建筑装饰,603017
山东墨龙,专用设备,002490
华电能源,煤炭开采加工,600726
杭电股份,电网设备,603618
华源控股,包装印刷,002787
泰慕士,服装家纺,001234
千味央厨,食品加工制造,001215
莲花控股,食品加工制造,600186
绿发电力,电力,000537
迎驾贡酒,白酒,603198
应流股份,通用设备,603308
亿道信息,消费电子,001314
汇绿生态,通信设备,001267
大族激光,自动化设备,002008
和远气体,化学制品,002971
众合科技,轨交设备,000925
美诺华,化学制药,603538
广西能源,电力,600310
中贝通信,通信服务,603220
兆驰股份,黑色家电,002429
联泓新科,光伏设备,003022
水发燃气,燃气,603318
昊华能源,煤炭开采加工,601101
苏州高新,房地产,600736
中兴商业,零售,000715
中原内配,汽车零部件,002448
佳力图,通用设备,603912
中新集团,房地产,601512
大连电瓷,电网设备,002606
法尔胜,环保设备,000890
浙文互联,文化传媒,600986
罗欣药业,化学制药,002793
华电辽能,电力,600396
国检集团,其他社会服务,603060
晶科科技,电力,601778
金 螳 螂,建筑装饰,002081
建新股份,化学制品,300107
博云新材,军工装备,002297
海星股份,电子化学品,603115
天银机电,白色家电,300342
粤电力Ａ,电力,000539
小商品城,零售,600415
南网能源,电力,003035
新天绿能,电力,600956
苏大维格,光学光电子,300331
唯特偶,电子化学品,301319
浙江恒威,电池,301222
博瑞医药,化学制药,688166
恒铭达,消费电子,002947
金银河,电池,300619
熵基科技,计算机设备,301330
利通电子,消费电子,603629
华如科技,军工电子,301302
大宏立,专用设备,300865
神开股份,专用设备,002278
军信股份,环境治理,301109
凌玮科技,化学制品,301373
斯莱克,专用设备,300382
中国动力,其他电源设备,600482
中复神鹰,化学纤维,688295
八亿时空,光学光电子,688181
翔丰华,电池,300890
国际复材,建筑材料,301526
赛意信息,IT服务,300687
贵阳银行,银行,601997
湖南发展,电力,000722
拓斯达,自动化设备,300607
雪榕生物,种植业与林业,300511
华特气体,电子化学品,688268
长虹华意,白色家电,000404
莱克电气,小家电,603355
杰瑞股份,专用设备,002353
博杰股份,自动化设备,002975
江苏新能,电力,603693
信测标准,其他社会服务,300938
福田汽车,汽车整车,600166
品高股份,IT服务,688227
永鼎股份,通信设备,600105
华谊兄弟,影视院线,300027
锌业股份,工业金属,000751
龙蟠科技,电池,603906
金利华电,电网设备,300069
金洲管道,钢铁,002443
圣邦股份,半导体,300661
广合科技,元件,001389
光迅科技,通信设备,002281
飞利信,IT服务,300287
节能环境,环境治理,300140
浙江新能,电力,600032
杰恩股份,其他社会服务,300668
潜能恒信,油气开采及服务,300191
老白干酒,白酒,600559
键邦股份,化学制品,603285
金鸿顺,汽车零部件,603922
浙数文化,游戏,600633
节能国祯,环境治理,300388
金开新能,电力,600821
视源股份,消费电子,002841
润本股份,美容护理,603193
万孚生物,医疗器械,300482
中国船舶,军工装备,600150
敷尔佳,美容护理,301371
绿色动力,环境治理,601330
泰坦股份,专用设备,003036
美能能源,燃气,001299
恒宇信通,军工装备,300965
中国科传,文化传媒,601858
航亚科技,军工装备,688510
亨通光电,通信设备,600487
上能电气,光伏设备,300827
嘉戎技术,环境治理,301148
爱尔眼科,医疗服务,300015
优利德,通用设备,688628
南网储能,电力,600995
莱尔科技,电子化学品,688683
赛伍技术,光伏设备,603212
中元股份,电网设备,300018
晶升股份,半导体,688478
诺唯赞,生物制品,688105
新风光,电网设备,688663
富佳股份,小家电,603219
益丰药房,医药商业,603939
中船防务,军工装备,600685
龙芯中科,半导体,688047
城发环境,环境治理,000885
吴通控股,通信服务,300292
潍柴动力,汽车零部件,000338
华策影视,影视院线,300133
劲仔食品,食品加工制造,003000
华电新能,电力,600930
广汇能源,油气开采及服务,600256
高铁电气,轨交设备,688285
银星能源,电力,000862
天音控股,零售,000829
中闽能源,电力,600163
立达信,光学光电子,605365
韶能股份,电力,000601
国民技术,半导体,300077
ST晨鸣,造纸,000488
瑞丰新材,化学制品,300910
通宝能源,电力,600780
*ST沪科,贸易,600608
金宏气体,电子化学品,688106
山煤国际,煤炭开采加工,600546
*ST中迪,房地产,000609
*ST原尚,物流,603813
青木科技,互联网电商,301110
ST景谷,种植业与林业,600265
朗博科技,汽车零部件,603655
*ST熊猫,家居用品,600599
宏辉果蔬,种植业与林业,603336
深粮控股,农产品加工,000019
金富科技,包装印刷,003018
*ST春天,食品加工制造,600381
ST华铭,计算机设备,300462
宝光股份,电网设备,600379
信维通信,消费电子,300136
新集能源,煤炭开采加工,601918
中煤能源,煤炭开采加工,601898
风语筑,文化传媒,603466
蓝焰控股,油气开采及服务,000968
黑牡丹,房地产,600510
四方新材,建筑材料,605122
四会富仕,元件,300852
九洲集团,电力,300040
万向钱潮,汽车零部件,000559
尚品宅配,家居用品,300616
*ST岩石,白酒,600696
赛摩智能,通用设备,300466
凤凰股份,房地产,600716
海正生材,塑料制品,688203
集智股份,通用设备,300553
海创药业-U,化学制药,688302
千里科技,汽车整车,601777
古井贡酒,白酒,000596
华银电力,电力,600744
高新发展,建筑装饰,000628
联诚精密,汽车零部件,002921
蜀道装备,专用设备,300540
聚杰微纤,纺织制造,300819
ST易购,互联网电商,002024
乐惠国际,专用设备,603076
三环集团,元件,300408
善水科技,化学原料,301190
金麒麟,汽车零部件,603586
中国卫星,军工装备,600118
万邦达,石油加工贸易,300055
精工钢构,建筑装饰,600496
*ST天喻,通信设备,300205
威高骨科,医疗器械,688161
老百姓,医药商业,603883
国瑞科技,军工装备,300600
迦南智能,电网设备,300880
丽江股份,旅游及酒店,002033
ST惠伦,元件,300460
浩云科技,IT服务,300448
红豆股份,服装家纺,600400
移远通信,通信设备,603236
潞安环能,煤炭开采加工,601699
紫光股份,IT服务,000938
北摩高科,军工装备,002985
和顺科技,塑料制品,301237
中曼石油,油气开采及服务,603619
武汉凡谷,通信设备,002194
大地海洋,环境治理,301068
中简科技,军工装备,300777
红蜻蜓,服装家纺,603116
华人健康,医药商业,301408
斯达半导,半导体,603290
泰晶科技,元件,603738
海泰新光,医疗器械,688677
尔康制药,化学制药,300267
麦加芯彩,化学制品,603062
海油工程,油气开采及服务,600583
德力佳,风电设备,603092
兰花科创,煤炭开采加工,600123
旭光电子,其他电子,600353
协鑫能科,电力,002015
皖通科技,IT服务,002331
佐力药业,中药,300181
辽宁能源,煤炭开采加工,600758
青农商行,银行,002958
美湖股份,汽车零部件,603319
山西汾酒,白酒,600809
飞亚达,服装家纺,000026
双杰电气,电网设备,300444
动力新科,汽车零部件,600841
中国巨石,建筑材料,600176
闽东电力,电力,000993
天岳先进,半导体,688234
洪汇新材,化学制品,002802
国睿科技,军工电子,600562
恒源煤电,煤炭开采加工,600971
沪硅产业,半导体,688126
诚志股份,化学原料,000990
长源电力,电力,000966
王力安防,家居用品,605268
三安光电,光学光电子,600703
东方电气,其他电源设备,600875
兖矿能源,煤炭开采加工,600188
航发动力,军工装备,600893
天永智能,专用设备,603895
五洲特纸,造纸,605007
百川畅银,环境治理,300614
纳百川,汽车零部件,301667
交建股份,建筑装饰,603815
隆达股份,军工装备,688231
中国长城,计算机设备,000066
浙江世宝,汽车零部件,002703
禾盛新材,白色家电,002290
罗莱生活,服装家纺,002293
宇新股份,石油加工贸易,002986
深圳瑞捷,建筑装饰,300977
设研院,建筑装饰,300732
皇马科技,化学制品,603181
科顺股份,建筑材料,300737
蓝盾光电,环保设备,300862
太阳电缆,电网设备,002300
衢州发展,房地产,600208
可川科技,消费电子,603052
元利科技,化学制品,603217
宁波能源,电力,600982
安杰思,医疗器械,688581
泛微网络,软件开发,603039
宝莱特,医疗器械,300246
甘肃能源,电力,000791
吉宏股份,互联网电商,002803
西安银行,银行,600928
普源精电,通用设备,688337
苏州龙杰,化学纤维,603332
卫星化学,化学制品,002648
太阳能,电力,000591
九联科技,黑色家电,688609
百龙创园,化学制品,605016
中油工程,油气开采及服务,600339
赤天化,农化制品,600227
万辰集团,零售,300972
苏垦农发,种植业与林业,601952
兰剑智能,通用设备,688557
南网科技,电力,688248
洪都航空,军工装备,600316
日海智能,通信设备,002313
深水海纳,环境治理,300961
ST臻镭,半导体,688270
建研院,其他社会服务,603183
达刚控股,专用设备,300103
沪电股份,元件,002463
新疆天业,化学原料,600075
成都银行,银行,601838
鼎通科技,通信设备,688668
中国石油,石油加工贸易,601857
阿科力,化学制品,603722
松炀资源,造纸,603863
长沙银行,银行,601577
*ST铖昌,军工电子,001270
亚星锚链,军工装备,601890
梅雁吉祥,电力,600868
新宝股份,小家电,002705
博纳影业,影视院线,001330
*ST亿通,通用设备,300211
昀冢科技,消费电子,688260
通策医疗,医疗服务,600763
英特集团,医药商业,000411
中科海讯,军工装备,300810
通达股份,电网设备,002560
比依股份,小家电,603215
远大控股,贸易,000626
厦门银行,银行,601187
上海机电,专用设备,600835
万泽股份,生物制品,000534
ST京蓝,环境治理,000711
上海能源,煤炭开采加工,600508
鲁西化工,化学原料,000830
仁度生物,医疗器械,688193
马钢股份,钢铁,600808
华邦健康,化学制药,002004
莱斯信息,软件开发,688631
华资实业,农产品加工,600191
*ST宇顺,通信服务,002289
安克创新,消费电子,300866
杰华特,半导体,688141
同庆楼,旅游及酒店,605108
科拓生物,化学制品,300858
德石股份,专用设备,301158
华康股份,化学制品,605077
帝奥微,半导体,688381
大业股份,通用设备,603278
酒鬼酒,白酒,000799
宁波高发,汽车零部件,603788
星辉娱乐,游戏,300043
泰山石油,石油加工贸易,000554
明月镜片,家居用品,301101
百邦科技,其他电子,300736
安联锐视,计算机设备,301042
洲际油气,油气开采及服务,600759
国脉文化,文化传媒,600640
家联科技,家居用品,301193
圆通速递,物流,600233
三联锻造,汽车零部件,001282
金种子酒,白酒,600199
青岛银行,银行,002948
皇台酒业,白酒,000995
道生天合,塑料制品,601026
招商港口,港口航运,001872
东星医疗,医疗器械,301290
三全食品,食品加工制造,002216
塔牌集团,建筑材料,002233
大有能源,煤炭开采加工,600403
宏景科技,IT服务,301396
江天化学,化学原料,300927
冰川网络,游戏,300533
大名城,房地产,600094
芯朋微,半导体,688508
探路者,服装家纺,300005
津药药业,化学制药,600488
联盛化学,化学制品,301212
芯能科技,电力,603105
山东高速,公路铁路运输,600350
国新健康,软件开发,000503
高盟新材,化学制品,300200
雄韬股份,电池,002733
威领股份,能源金属,002667
中材科技,建筑材料,002080
豫能控股,电力,001896
九华旅游,旅游及酒店,603199
电光科技,专用设备,002730
深南电A,电力,000037
美瑞新材,化学制品,300848
正川股份,医疗器械,603976
电投绿能,电力,000875
英科再生,塑料制品,688087
ST岭南,环境治理,002717
海信视像,黑色家电,600060
云南能投,电力,002053
中国海油,油气开采及服务,600938
三元股份,饮料制造,600429
润泽科技,通信服务,300442
鼎龙股份,电子化学品,300054
固高科技,自动化设备,301510
浙江东日,零售,600113
蔚蓝锂芯,电池,002245
陕西煤业,煤炭开采加工,601225
宁波建工,建筑装饰,601789
贝肯能源,油气开采及服务,002828
王府井,零售,600859
德业股份,光伏设备,605117
金徽酒,白酒,603919
京能热力,电力,002893
广安爱众,电力,600979
江苏索普,化学原料,600746
普瑞眼科,医疗服务,301239
德赛西威,汽车零部件,002920
白云电器,电网设备,603861
南京银行,银行,601009
云煤能源,煤炭开采加工,600792
爱美客,美容护理,300896
中国神华,煤炭开采加工,601088
市北高新,房地产,600604
今世缘,白酒,603369
平煤股份,煤炭开采加工,601666
思瑞浦,半导体,688536
爱博医疗,医疗器械,688050
*ST兰黄,饮料制造,000929
华峰测控,半导体,688200
天海防务,军工装备,300008
淮北矿业,煤炭开采加工,600985
口子窖,白酒,603589
道恩股份,塑料制品,002838
广东建工,建筑装饰,002060
新产业,医疗器械,300832
皖通高速,公路铁路运输,600012
金煤科技,化学原料,600844
会稽山,饮料制造,601579
三特索道,旅游及酒店,002159
深圳能源,电力,000027
宁夏建材,建筑材料,600449
浙江东方,多元金融,600120
深圳燃气,燃气,601139
洪城环境,环境治理,600461
华立股份,建筑材料,603038
国能日新,软件开发,301162
中环海陆,风电设备,301040
通源石油,油气开采及服务,300164
纬德信息,软件开发,688171
奕东电子,消费电子,301123
天铁科技,橡胶制品,300587
开滦股份,煤炭开采加工,600997
惠而浦,白色家电,600983
众兴菌业,种植业与林业,002772
广州发展,电力,600098
无锡银行,银行,600908
水井坊,白酒,600779
国光股份,农化制品,002749
豪美新材,工业金属,002988
常宝股份,钢铁,002478
安井食品,食品加工制造,603345
中威电子,计算机设备,300270
钢研高纳,军工装备,300034
锦浪科技,光伏设备,300763
华凯易佰,互联网电商,300592
紫金银行,银行,601860
世茂能源,电力,605028
江苏神通,通用设备,002438
赛力斯,汽车整车,601127
宝丰能源,化学原料,600989
ST宏达,化学制品,002211
纳芯微,半导体,688052
ST美晨,汽车零部件,300237
柳化股份,化学原料,600423
云南锗业,小金属,002428
金丹科技,化学制品,300829
长川科技,半导体,300604
中油资本,多元金融,000617
旋极信息,计算机设备,300324
ST迪威迅,IT服务,300167
中船汉光,计算机设备,300847
智洋创新,IT服务,688191
京泉华,其他电子,002885
国际实业,光伏设备,000159
乐心医疗,医疗器械,300562
穗恒运Ａ,电力,000531
安彩高科,光伏设备,600207
晋控煤业,煤炭开采加工,601001
金证股份,IT服务,600446
华润微,半导体,688396
福建金森,种植业与林业,002679
瑞丰高材,塑料制品,300243
瑞丰银行,银行,601528
*ST天山,养殖业,300313
中海油服,油气开采及服务,601808
富临精工,汽车零部件,300432
齐鲁银行,银行,601665
维远股份,化学原料,600955
大众公用,燃气,600635
宝新能源,电力,000690
圣泉集团,塑料制品,605589
火星人,厨卫电器,300894
海利尔,农化制品,603639
宜安科技,小金属,300328
杭氧股份,化学制品,002430
陕西黑猫,煤炭开采加工,601015
漱玉平民,医药商业,301017
三角防务,军工装备,300775
冀中能源,煤炭开采加工,000937
恒烁股份,半导体,688416
星湖科技,化学制品,600866
广生堂,化学制药,300436
华厦眼科,医疗服务,301267
瑞迈特,医疗器械,301367
东宏股份,建筑材料,603856
有友食品,食品加工制造,603697
林洋能源,电网设备,601222
青松股份,美容护理,300132
四川成渝,公路铁路运输,601107
三友化工,化学原料,600409
江苏博云,塑料制品,301003
汽轮科技,其他电源设备,300277
万通发展,房地产,600246
凌钢股份,钢铁,600231
广信股份,农化制品,603599
宇通重工,环保设备,600817
万润新能,电池,688275
骏成科技,光学光电子,301106
富瀚微,半导体,300613
润邦股份,专用设备,002483
行动教育,教育,605098
新光光电,军工电子,688011
华电国际,电力,600027
石化油服,油气开采及服务,600871
卫宁健康,软件开发,300253
恒通股份,石油加工贸易,603223
航天机电,汽车零部件,600151
泰豪科技,军工电子,600590
优刻得-W,IT服务,688158
贝泰妮,美容护理,300957
永辉超市,零售,601933
富邦科技,农化制品,300387
康缘药业,中药,600557
中通客车,汽车整车,000957
洪通燃气,燃气,605169
海默科技,专用设备,300084
天味食品,食品加工制造,603317
恒林股份,家居用品,603661
湖南裕能,电池,301358
嘉友国际,物流,603871
恒瑞医药,化学制药,600276
坤恒顺维,通信设备,688283
南大光电,电子化学品,300346
华鲁恒升,农化制品,600426
*ST椰岛,饮料制造,600238
山西焦化,煤炭开采加工,600740
百大集团,零售,600865
路畅科技,汽车零部件,002813
国晟科技,光伏设备,603778
电声股份,文化传媒,300805
江苏国信,电力,002608
亚厦股份,建筑装饰,002375
大商股份,零售,600694
中化国际,化学制品,600500
苏美达,贸易,600710
青岛港,港口航运,601298
广聚能源,石油加工贸易,000096
杭钢股份,钢铁,600126
飞南资源,环境治理,301500
南网数字,IT服务,301638
城地香江,通信服务,603887
舍得酒业,白酒,600702
北京科锐,电网设备,002350
特锐德,电网设备,300001
电投产融,电力,000958
钱江生化,环境治理,600796
威士顿,软件开发,301315
诚意药业,化学制药,603811
海光信息,半导体,688041
名臣健康,游戏,002919
兴蓉环境,环境治理,000598
泸州老窖,白酒,000568
常山北明,IT服务,000158
丸美生物,美容护理,603983
立新能源,电力,001258
富春环保,电力,002479
熊猫乳品,饮料制造,300898
新 和 成,化学制药,002001
美锦能源,煤炭开采加工,000723
东湖高新,环境治理,600133
福斯特,光伏设备,603806
华夏幸福,房地产,600340
雷赛智能,自动化设备,002979
佳发教育,软件开发,300559
国药股份,医药商业,600511
华西证券,证券,002926
陕天然气,燃气,002267
工业富联,消费电子,601138
银河微电,半导体,688689
石化机械,专用设备,000852
矩阵股份,建筑装饰,301365
百亚股份,美容护理,003006
宝立食品,食品加工制造,603170
国新能源,燃气,600617
景旺电子,元件,603228
迎丰股份,纺织制造,605055
浦东金桥,房地产,600639
创元科技,环保设备,000551
新经典,文化传媒,603096
伟明环保,环境治理,603568
威孚高科,汽车零部件,000581
重庆银行,银行,601963
广电网络,文化传媒,600831
三峡能源,电力,600905
康尼机电,轨交设备,603111
盐津铺子,食品加工制造,002847
瑞晨环保,通用设备,301273
倍加洁,美容护理,603059
吉鑫科技,风电设备,601218
汉缆股份,电网设备,002498
中国核电,电力,601985
南极电商,互联网电商,002127
神马电力,电网设备,603530
大唐发电,电力,601991
新乳业,饮料制造,002946
群兴玩具,综合,002575
中国出版,文化传媒,601949
豪鹏科技,电池,001283
康普顿,石油加工贸易,603798
龙源电力,电力,001289
崧盛股份,光学光电子,301002
明星电力,电力,600101
惠泉啤酒,饮料制造,600573
众捷汽车,汽车零部件,301560
伯特利,汽车零部件,603596
学大教育,教育,000526
新黄浦,房地产,600638
山西焦煤,煤炭开采加工,000983
凯伦股份,建筑材料,300715
安妮股份,造纸,002235
东鹏饮料,饮料制造,605499
佛燃能源,燃气,002911
永太科技,化学制品,002326
上海环境,环境治理,601200
盛视科技,计算机设备,002990
ST瑞和,建筑装饰,002620
伊力特,白酒,600197
帝尔激光,光伏设备,300776
上海艾录,包装印刷,301062
宝钢包装,包装印刷,601968
轻纺城,零售,600790
上海银行,银行,601229
海南橡胶,种植业与林业,601118
德邦科技,电子化学品,688035
中光防雷,通信设备,300414
山东海化,化学原料,000822
广康生化,农化制品,300804
兴通股份,港口航运,603209
申通快递,物流,002468
古麒绒材,纺织制造,001390
昂立教育,教育,600661
中泰化学,化学原料,002092
科思股份,美容护理,300856
富森美,零售,002818
XD云中马,纺织制造,603130
马可波罗,家居用品,001386
中国卫通,军工装备,601698
伟星股份,纺织制造,002003
苏能股份,煤炭开采加工,600925
博迈科,油气开采及服务,603727
西陇科学,电子化学品,002584
中重科技,专用设备,603135
张家港行,银行,002839
涛涛车业,汽车服务及其他,301345
永杉锂业,能源金属,603399
金石亚药,化学制药,300434
苏 泊 尔,小家电,002032
天洋新材,塑料制品,603330
健帆生物,医疗器械,300529
潞化科技,农化制品,600691
水晶光电,光学光电子,002273
长龄液压,工程机械,605389
兴发集团,农化制品,600141
唐山港,港口航运,601000
洋河股份,白酒,002304
大位科技,IT服务,600589
天富能源,电力,600509
华远控股,零售,600743
百奥赛图,医疗服务,688796
华图山鼎,教育,300492
苏农银行,银行,603323
德展健康,化学制药,000813
国统股份,建筑材料,002205
泰达股份,综合,000652
卓越新能,化学制品,688196
中国电建,建筑装饰,601669
振华重工,专用设备,600320
永泰能源,电力,600157
石头科技,小家电,688169
华测检测,其他社会服务,300012
惠博普,油气开采及服务,002554
朗坤科技,环境治理,301305
中际旭创,通信设备,300308
山西高速,公路铁路运输,000755
华塑股份,化学原料,600935
嘉华股份,农产品加工,603182
重庆百货,零售,600729
中南文化,通用设备,002445
新开源,化学制品,300109
爱丽家居,家居用品,603221
华新建材,建筑材料,600801
恒为科技,计算机设备,603496
京投发展,房地产,600683
浙版传媒,文化传媒,601921
零点有数,其他社会服务,301169
东鹏控股,家居用品,003012
东宝生物,生物制品,300239
三峰环境,环境治理,601827
均胜电子,汽车零部件,600699
华夏银行,银行,600015
海容冷链,通用设备,603187
乐山电力,电力,600644
史丹利,农化制品,002588
江河集团,建筑装饰,601886
上实发展,房地产,600748
泰和科技,化学制品,300801
中国海防,军工装备,600764
浩欧博,医疗器械,688656
顺鑫农业,白酒,000860
思源电气,电网设备,002028
燕京啤酒,饮料制造,000729
爱乐达,军工装备,300696
韵达股份,物流,002120
盛剑科技,环保设备,603324
济川药业,中药,600566
粤 传 媒,文化传媒,002181
尚太科技,电池,001301
迪威尔,专用设备,688377
*ST中岩,建筑装饰,002542
大参林,医药商业,603233
万凯新材,塑料制品,301216
黄河旋风,通用设备,600172
云从科技-UW,IT服务,688327
茶花股份,家居用品,603615
维力医疗,医疗器械,603309
安博通,软件开发,688168
江阴银行,银行,002807
ST长方,光学光电子,300301
鲁银投资,化学原料,600784
科士达,其他电源设备,002518
联美控股,电力,600167
成都燃气,燃气,603053
瑞尔特,家居用品,002790
利民股份,农化制品,002734
中国铁物,物流,000927
ST沈化,石油加工贸易,000698
莱茵生物,化学制品,002166
国发股份,医疗器械,600538
共达电声,消费电子,002655
国电电力,电力,600795
新天然气,油气开采及服务,603393
地素时尚,服装家纺,603587
中船特气,电子化学品,688146
永兴股份,环境治理,601033
佰仁医疗,医疗器械,688198
飞科电器,小家电,603868
日照港,港口航运,600017
ST绝味,食品加工制造,603517
武汉控股,环境治理,600168
安迪苏,化学制品,600299
梦网科技,通信服务,002123
科净源,环境治理,301372
正泰电源,光伏设备,002150
阿拉丁,化学制品,688179
万年青,建筑材料,000789
仙乐健康,食品加工制造,300791
中晟高科,环境治理,002778
常友科技,风电设备,301557
安德利,饮料制造,605198
中锐股份,包装印刷,002374
中创物流,物流,603967
五芳斋,食品加工制造,603237
富安娜,服装家纺,002327
*ST海源,专用设备,002529
晋控电力,电力,000767
以岭药业,中药,002603
英集芯,半导体,688209
新安股份,农化制品,600596
东方电子,电网设备,000682
航锦科技,化学原料,000818
中原环保,环境治理,000544
ST未名,生物制品,002581
一心堂,医药商业,002727
华锦股份,石油加工贸易,000059
贵州燃气,燃气,600903
科达制造,家居用品,600499
锦江酒店,旅游及酒店,600754
奥联电子,汽车零部件,300585
首华燃气,油气开采及服务,300483
苏州天脉,消费电子,301626
广联达,软件开发,002410
药明康德,医疗服务,603259
桐昆股份,化学纤维,601233
海油发展,油气开采及服务,600968
深深房Ａ,房地产,000029
庄园牧场,饮料制造,002910
华智数媒,影视院线,300426
海融科技,饮料制造,300915
冠农股份,农产品加工,600251
鲁信创投,多元金融,600783
隆华新材,化学制品,301149
奔图科技,计算机设备,002180
广州港,港口航运,601228
中颖电子,半导体,300327
北京银行,银行,601169
青达环保,环保设备,688501
弘宇股份,专用设备,002890
金山办公,软件开发,688111
奥克股份,化学原料,300082
奥普科技,厨卫电器,603551
迈瑞医疗,医疗器械,300760
华致酒行,零售,300755
山高环能,环境治理,000803
中科创达,IT服务,300496
圣阳股份,电池,002580
兴业股份,塑料制品,603928
曲美家居,家居用品,603818
天佑德酒,白酒,002646
龙头股份,服装家纺,600630
长虹美菱,白色家电,000521
盛泰集团,服装家纺,605138
天地科技,专用设备,600582
深高速,公路铁路运输,600548
贵州轮胎,汽车零部件,000589
恒星科技,通用设备,002132
海尔生物,医疗器械,688139
苏文电能,建筑装饰,300982
中国广核,电力,003816
首旅酒店,旅游及酒店,600258
慧谷新材,化学制品,301683
松发股份,军工装备,603268
汇纳科技,IT服务,300609
一汽解放,汽车整车,000800
招商公路,公路铁路运输,001965
长青集团,电力,002616
皖能电力,电力,000543
航宇科技,军工装备,688239
绿城水务,环境治理,601368
华熙生物,美容护理,688363
万集科技,计算机设备,300552
安徽建工,建筑装饰,600502
安记食品,食品加工制造,603696
沧州大化,化学制品,600230
峰岹科技,半导体,688279
新疆火炬,燃气,603080
润建股份,通信服务,002929
赣能股份,电力,000899
铁龙物流,公路铁路运输,600125
湖北能源,电力,000883
ST雪发,物流,002485
甘咨询,建筑装饰,000779
*ST汇科,软件开发,300561
宝利国际,石油加工贸易,300135
恒顺醋业,食品加工制造,600305
金牛化工,化学原料,600722
长江传媒,文化传媒,600757
工商银行,银行,601398
永顺泰,农产品加工,001338
力量钻石,非金属材料,301071
三孚股份,化学原料,603938
豪森智能,专用设备,688529
