    名称,所属行业,代码
华光新材,通用设备,688379
亿嘉和,自动化设备,603666
三角轮胎,汽车零部件,601163
数字认证,软件开发,300579
森特股份,建筑装饰,603098
滨化股份,化学原料,601678
中山公用,环境治理,000685
国泰环保,环境治理,301203
*ST金泰,化学制品,300225
昊海生科,医疗器械,688366
广钢气体,电子化学品,688548
兴化股份,化学原料,002109
陕鼓动力,专用设备,601369
龙源技术,环保设备,300105
甘肃能化,煤炭开采加工,000552
重庆燃气,燃气,600917
大秦铁路,公路铁路运输,601006
鑫磊股份,通用设备,301317
三峡水利,电力,600116
交运股份,综合,600676
渤海轮渡,港口航运,603167
百川能源,燃气,600681
九州通,医药商业,600998
航发科技,军工装备,600391
奥瑞金,包装印刷,002701
北京人力,其他社会服务,600861
青松建化,建筑材料,600425
皖天然气,燃气,603689
凡拓数创,文化传媒,301313
弘信电子,元件,300657
金健米业,农产品加工,600127
郑州煤电,煤炭开采加工,600121
建科院,建筑装饰,300675
承德露露,饮料制造,000848
江苏银行,银行,600919
仁东控股,多元金融,002647
*ST集友,包装印刷,603429
海博思创,其他电源设备,688411
银轮股份,汽车零部件,002126
一拖股份,专用设备,601038
粤高速Ａ,公路铁路运输,000429
平治信息,通信服务,300571
吉林高速,公路铁路运输,601518
电广传媒,文化传媒,000917
顾地科技,建筑材料,002694
华润材料,塑料制品,301090
荣晟环保,造纸,603165
必得科技,轨交设备,605298
音飞储存,物流,603066
浙商中拓,物流,000906
浙能电力,电力,600023
美的集团,白色家电,000333
特变电工,综合,600089
亚通股份,房地产,600692
苏州银行,银行,002966
全 聚 德,旅游及酒店,002186
汇嘉时代,零售,603101
马应龙,中药,600993
鼎汉技术,轨交设备,300011
嘉曼服饰,服装家纺,301276
贵州茅台,白酒,600519
雅戈尔,服装家纺,600177
ST得润,消费电子,002055
创力集团,专用设备,603012
艾芬达,家居用品,301575
天津港,港口航运,600717
外高桥,房地产,600648
襄阳轴承,汽车零部件,000678
重药控股,医药商业,000950
格林达,电子化学品,603931
四方科技,通用设备,603339
新锦动力,通用设备,300157
杰美特,消费电子,300868
海新能科,化学制品,300072
西子洁能,其他电源设备,002534
金隅冀东,建筑材料,000401
申能股份,电力,600642
天瑞仪器,通用设备,300165
恒申新材,化学纤维,000782
三祥新材,非金属材料,603663
建投能源,电力,000600
迪普科技,软件开发,300768
安琪酵母,食品加工制造,600298
电投水电,电力,600292
鲁北化工,化学制品,600727
景嘉微,军工电子,300474
晶华新材,化学制品,603683
中粮科技,农产品加工,000930
宇通客车,汽车整车,600066
星华新材,化学制品,301077
宁波韵升,金属新材料,600366
新奥股份,燃气,600803
国投丰乐,种植业与林业,000713
园林股份,建筑装饰,605303
锋尚文化,其他社会服务,300860
通源环境,环境治理,688679
中信尼雅,饮料制造,600084
东华能源,石油加工贸易,002221
华孚时尚,纺织制造,002042
浙江永强,家居用品,002489
西山科技,医疗器械,688576
通达动力,电机,002576
中国化学,建筑装饰,601117
盈峰环境,环保设备,000967
宁德时代,电池,300750
桂发祥,食品加工制造,002820
妙可蓝多,饮料制造,600882
邮储银行,银行,601658
东来技术,化学制品,688129
德尔股份,汽车零部件,300473
珠海港,港口航运,000507
航材股份,军工装备,688563
九丰能源,燃气,605090
同济科技,建筑装饰,600846
元创股份,橡胶制品,001325
奥海科技,消费电子,002993
秦港股份,港口航运,601326
陕西旅游,旅游及酒店,603402
汤臣倍健,食品加工制造,300146
欧普康视,医疗器械,300595
华达新材,金属新材料,605158
中文在线,文化传媒,300364
志邦家居,家居用品,603801
时代电气,轨交设备,688187
中农立华,农化制品,603970
昇兴股份,包装印刷,002752
郑州银行,银行,002936
力合科创,美容护理,002243
若羽臣,互联网电商,003010
艾罗能源,光伏设备,688717
京能电力,电力,600578
众生药业,中药,002317
浦东建设,建筑装饰,600284
云路股份,金属新材料,688190
五 粮 液,白酒,000858
中科通达,软件开发,688038
长源东谷,汽车零部件,603950
重庆啤酒,饮料制造,600132
恒兴新材,化学原料,603276
华是科技,IT服务,301218
爱施德,零售,002416
宝信软件,IT服务,600845
松原安全,汽车零部件,300893
天有为,汽车零部件,603202
利尔化学,农化制品,002258
珠江啤酒,饮料制造,002461
荃银高科,种植业与林业,300087
中国电信,通信服务,601728
彤程新材,橡胶制品,603650
北投科技,IT服务,600936
儒意电影,影视院线,002739
设计总院,建筑装饰,603357
豪悦护理,美容护理,605009
现代投资,公路铁路运输,000900
仲景食品,食品加工制造,300908
保龄宝,农产品加工,002286
仙坛股份,养殖业,002746
创业环保,环境治理,600874
廊坊发展,电力,600149
英可瑞,其他电源设备,300713
华昌化工,化学原料,002274
澄星股份,农化制品,600078
瑞晟智能,自动化设备,688215
中宠股份,农产品加工,002891
宝钢股份,钢铁,600019
南微医学,医疗器械,688029
海顺新材,包装印刷,300501
通用股份,汽车零部件,601500
启迪设计,建筑装饰,300500
文投控股,影视院线,600715
小熊电器,小家电,002959
热威股份,白色家电,603075
厦门港务,港口航运,000905
法狮龙,建筑材料,605318
赛特新材,化学制品,688398
北部湾港,港口航运,000582
金陵体育,家居用品,300651
悍高集团,家居用品,001221
海宁皮城,零售,002344
广州酒家,食品加工制造,603043
博源化工,化学原料,000683
联合精密,白色家电,001268
开山股份,通用设备,300257
惠天热电,电力,000692
兰州银行,银行,001227
古越龙山,饮料制造,600059
青云科技-U,IT服务,688316
欧圣电气,小家电,301187
德方纳米,电池,300769
苏常柴Ａ,通用设备,000570
普洛药业,化学制药,000739
上汽集团,汽车整车,600104
杭叉集团,工程机械,603298
湖南海利,农化制品,600731
风神股份,汽车零部件,600469
步长制药,中药,603858
理工能科,软件开发,002322
胜利股份,燃气,000407
惠通科技,专用设备,301601
张  裕Ａ,饮料制造,000869
兴源环境,环境治理,300266
大众交通,公路铁路运输,600611
连云港,港口航运,601008
山科智能,通用设备,300897
浙江医药,化学制药,600216
华能水电,电力,600025
常熟银行,银行,601128
华谊集团,化学原料,600623
上港集团,港口航运,600018
涪陵榨菜,食品加工制造,002507
九芝堂,中药,000989
泸天化,农化制品,000912
帝科股份,光伏设备,300842
光华科技,电子化学品,002741
诺 普 信,种植业与林业,002215
华大智造,医疗器械,688114
德迈仕,汽车零部件,301007
中国西电,电网设备,601179
ST浩丰,IT服务,300419
春兰股份,白色家电,600854
君正集团,化学原料,601216
苏豪弘业,贸易,600128
中华企业,房地产,600675
福成股份,养殖业,600965
北大荒,种植业与林业,600598
君逸数码,IT服务,301172
青岛双星,汽车零部件,000599
中国通号,轨交设备,688009
菲达环保,环保设备,600526
徐家汇,零售,002561
百联股份,零售,600827
西昌电力,电力,600505
国投中鲁,饮料制造,600962
江山股份,农化制品,600389
汇通集团,建筑装饰,603176
泉阳泉,饮料制造,600189
七一二,军工电子,603712
朗特智能,消费电子,300916
新华文轩,文化传媒,601811
ST应急,军工装备,300527
全志科技,半导体,300458
三态股份,互联网电商,301558
片仔癀,中药,600436
西部材料,小金属,002149
百川股份,化学制品,002455
*ST华闻,文化传媒,000793
确成股份,橡胶制品,605183
华融化学,化学原料,301256
江南水务,环境治理,601199
天士力,中药,600535
瑞联新材,电子化学品,688550
心脉医疗,医疗器械,688016
西安奕材-U,半导体,688783
荣泰健康,小家电,603579
陕西能源,电力,001286
捷成股份,影视院线,300182
盘江股份,煤炭开采加工,600395
东方新能,电力,002310
*ST沐邦,光伏设备,603398
哈空调,通用设备,600202
本钢板材,钢铁,000761
浙商银行,银行,601916
中国能建,建筑装饰,601868
长江电力,电力,600900
甘源食品,食品加工制造,002991
天宸股份,综合,600620
富瑞特装,通用设备,300228
中洲控股,房地产,000042
中航西飞,军工装备,000768
慕思股份,家居用品,001323
首创环保,环境治理,600008
中旗股份,农化制品,300575
中集车辆,汽车整车,301039
辉隆股份,种植业与林业,002556
有方科技,通信设备,688159
丽岛新材,工业金属,603937
天沃科技,专用设备,002564
中英科技,元件,300936
华旺科技,造纸,605377
德宏股份,汽车零部件,603701
顺发恒能,电力,000631
天安新材,家居用品,603725
思林杰,通用设备,688115
双汇发展,食品加工制造,000895
吉比特,游戏,603444
龙江交通,公路铁路运输,601188
万憬能源,燃气,002700
天原股份,化学原料,002386
梅花生物,化学制品,600873
江苏北人,自动化设备,688218
苏交科,建筑装饰,300284
四川路桥,建筑装饰,600039
上海建科,建筑装饰,603153
振石股份,建筑材料,601112
东莞控股,公路铁路运输,000828
扬农化工,农化制品,600486
博汇纸业,造纸,600966
百润股份,饮料制造,002568
陕建股份,建筑装饰,600248
方盛制药,中药,603998
交通银行,银行,601328
华能国际,电力,600011
澳柯玛,白色家电,600336
新农开发,种植业与林业,600359
鹏辉能源,电池,300438
家家悦,零售,603708
丰倍生物,化学制品,603334
光明乳业,饮料制造,600597
技源集团,食品加工制造,603262
渝农商行,银行,601077
獐子岛,养殖业,002069
农 产 品,零售,000061
华数传媒,文化传媒,000156
银信科技,IT服务,300231
勘设股份,建筑装饰,603458
陕西金叶,包装印刷,000812
联影医疗,医疗器械,688271
硕世生物,医疗器械,688399
天康生物,农产品加工,002100
同仁堂,中药,600085
匠心家居,家居用品,301061
金城医药,化学制药,300233
涪陵电力,电力,600452
宁沪高速,公路铁路运输,600377
中炬高新,食品加工制造,600872
航发控制,军工装备,000738
浙江龙盛,化学制品,600352
重庆水务,环境治理,601158
地铁设计,建筑装饰,003013
仙琚制药,化学制药,002332
锦泓集团,服装家纺,603518
*ST声迅,计算机设备,003004
明新旭腾,汽车零部件,605068
大全能源,光伏设备,688303
海天股份,环境治理,603759
千禾味业,食品加工制造,603027
青岛啤酒,饮料制造,600600
永福股份,建筑装饰,300712
凯龙股份,化学制品,002783
中金公司,证券,601995
金枫酒业,饮料制造,600616
悦康药业,化学制药,688658
桃李面包,食品加工制造,603866
凯文教育,教育,002659
岭南控股,旅游及酒店,000524
杭州热电,电力,605011
千金药业,中药,600479
长春燃气,燃气,600333
泰和新材,化学纤维,002254
中国石化,石油加工贸易,600028
平安银行,银行,000001
李子园,饮料制造,605337
西麦食品,食品加工制造,002956
天润工业,汽车零部件,002283
天壕能源,燃气,300332
招商银行,银行,600036
山东路桥,建筑装饰,000498
长城科技,电网设备,603897
东山精密,元件,002384
菜百股份,服装家纺,605599
南京公用,综合,000421
安凯微,半导体,688620
花王股份,汽车零部件,603007
惠达卫浴,家居用品,603385
锦江在线,公路铁路运输,600650
宁波银行,银行,002142
海程邦达,物流,603836
金字火腿,食品加工制造,002515
容百科技,电池,688005
ST泉为,光伏设备,300716
公牛集团,家居用品,603195
三江购物,零售,601116
上海贝岭,半导体,600171
ST景峰,化学制药,000908
三峡旅游,旅游及酒店,002627
江苏金租,多元金融,600901
戎美股份,服装家纺,301088
太阳纸业,造纸,002078
远 望 谷,其他电子,002161
航民股份,纺织制造,600987
青岛食品,食品加工制造,001219
同兴达,光学光电子,002845
信凯科技,化学制品,001335
好太太,家居用品,603848
天融信,软件开发,002212
雷尔伟,轨交设备,301016
南侨食品,食品加工制造,605339
隆鑫通用,汽车服务及其他,603766
亿纬锂能,电池,300014
上大股份,金属新材料,301522
上海电气,其他电源设备,601727
新乡化纤,化学纤维,000949
时代出版,文化传媒,600551
健民集团,中药,600976
鼎信通讯,通信设备,603421
中信银行,银行,601998
创世纪,通用设备,300083
万向德农,种植业与林业,600371
同方股份,计算机设备,600100
北京利尔,建筑材料,002392
雪迪龙,环保设备,002658
建发股份,物流,600153
森林包装,造纸,605500
惠发食品,食品加工制造,603536
国药现代,化学制药,600420
长安汽车,汽车整车,000625
益客食品,食品加工制造,301116
中南传媒,文化传媒,601098
冰轮环境,通用设备,000811
精锻科技,汽车零部件,300258
海伦哲,工程机械,300201
天龙集团,文化传媒,300063
吉祥航空,机场航运,603885
黄山旅游,旅游及酒店,600054
宁波方正,汽车零部件,300998
无锡振华,汽车零部件,605319
盛景微,半导体,603375
中红医疗,医疗器械,300981
招商证券,证券,600999
鸿富瀚,消费电子,301086
拉芳家化,美容护理,603630
龙韵股份,文化传媒,603729
上海医药,医药商业,601607
汇顶科技,半导体,603160
格力电器,白色家电,000651
泰金新能,专用设备,688813
药康生物,医疗服务,688046
联检科技,其他社会服务,301115
禾望电气,风电设备,603063
立华股份,养殖业,300761
仙鹤股份,造纸,603733
维海德,计算机设备,301318
中国移动,通信服务,600941
南芯科技,半导体,688484
恒鑫生活,家居用品,301501
国恩股份,塑料制品,002768
星宸科技,半导体,301536
孩子王,零售,301078
超越科技,环境治理,301049
中胤时尚,服装家纺,300901
龙利得,包装印刷,300883
澄天伟业,通信设备,300689
创业慧康,软件开发,300451
博世科,环境治理,300422
三诺生物,医疗器械,300298
开能健康,小家电,300272
ST恒信,通信服务,300081
天禾股份,农化制品,002999
奥美医疗,医疗器械,002950
深南电路,元件,002916
可立克,其他电子,002782
东江环保,环境治理,002672
哈尔斯,家居用品,002615
新筑股份,电力,002480
龙星科技,橡胶制品,002442
省广集团,文化传媒,002400
桂林三金,中药,002275
美邦服饰,服装家纺,002269
滨江集团,房地产,002244
劲嘉股份,包装印刷,002191
*ST星光,光学光电子,002076
浙江交科,建筑装饰,002061
阳光乳业,饮料制造,001318
中铁特货,公路铁路运输,001213
*ST中基,农产品加工,000972
佳电股份,电机,000922
新 希 望,农产品加工,000876
鲁  泰Ａ,纺织制造,000726
通程控股,零售,000419
深圳机场,机场航运,000089
华控赛格,环境治理,000068
方大集团,建筑材料,000055
博拓生物,医疗器械,688767
光峰科技,消费电子,688007
聚合顺,化学纤维,605166
正和生态,环境治理,605069
吉华集团,化学制品,603980
雅运股份,化学制品,603790
香飘飘,饮料制造,603711
爱慕股份,服装家纺,603511
美思德,化学制品,603041
招商南油,港口航运,601975
美凯龙,零售,601828
光大银行,银行,601818
皖新传媒,文化传媒,601801
中国建筑,建筑装饰,601668
长城汽车,汽车整车,601633
浙文影业,纺织制造,601599
中铝国际,建筑装饰,601068
宁波港,港口航运,601018
重庆钢铁,钢铁,601005
苏豪汇鸿,贸易,600981
岳阳林纸,造纸,600963
广日股份,专用设备,600894
国投电力,电力,600886
博闻科技,种植业与林业,600883
中储股份,物流,600787
南京医药,医药商业,600713
欧亚集团,零售,600697
上海石化,石油加工贸易,600688
珠江股份,房地产,600684
川投能源,电力,600674
天地源,房地产,600665
陆家嘴,房地产,600663
外服控股,其他社会服务,600662
申华控股,汽车服务及其他,600653
新华医疗,医疗器械,600587
金晶科技,化学原料,600586
淮河能源,电力,600575
交大昂立,食品加工制造,600530
空港股份,房地产,600463
时代新材,风电设备,600458
中央商场,零售,600280
嘉化能源,化学制品,600273
大湖股份,医疗服务,600257
福瑞达,美容护理,600223
中再资环,环境治理,600217
国中水务,环境治理,600187
金花股份,中药,600080
光明肉业,食品加工制造,600073
中国联通,通信服务,600050
民生银行,银行,600016
恒达新材,造纸,301469
达梦数据,软件开发,688692
味知香,食品加工制造,605089
万华化学,化学制品,600309
金龙汽车,汽车整车,600686
国泰海通,证券,601211
恒逸石化,化学纤维,000703
S佳通,汽车零部件,600182
株冶集团,工业金属,600961
中原传媒,文化传媒,000719
中远海控,港口航运,601919
航天环宇,军工装备,688523
宏昌电子,电子化学品,603002
品渥食品,饮料制造,300892
博盈特焊,专用设备,301468
镇洋发展,化学原料,603213
乐歌股份,家居用品,300729
复星医药,化学制药,600196
三星电气,电网设备,601567
伊利股份,饮料制造,600887
华骐环保,环境治理,300929
江特电机,电机,002176
南都物业,房地产,603506
白云山,中药,600332
三维股份,橡胶制品,603033
南兴股份,专用设备,002757
永艺股份,家居用品,603600
中信博,光伏设备,688408
飞凯材料,电子化学品,300398
良品铺子,食品加工制造,603719
神农集团,养殖业,605296
百合股份,食品加工制造,603102
*ST华微,半导体,600360
上海九百,零售,600838
健之佳,医药商业,605266
云涌科技,计算机设备,688060
兴业银行,银行,601166
道通科技,计算机设备,688208
隆基绿能,光伏设备,601012
金科环境,环境治理,688466
ST华扬,文化传媒,603825
维业股份,建筑装饰,300621
深物业A,房地产,000011
汇洁股份,服装家纺,002763
东睦股份,通用设备,600114
鲁抗医药,化学制药,600789
纽威数控,通用设备,688697
浙江建投,建筑装饰,002761
春秋航空,机场航运,601021
ST张家界,旅游及酒店,000430
奇正藏药,中药,002287
*ST威尔,电池,002058
安正时尚,服装家纺,603839
华特达因,化学制药,000915
华生科技,纺织制造,605180
中粮糖业,农产品加工,600737
宁波富达,房地产,600724
锦和商管,零售,603682
海峡环保,环境治理,603817
海南华铁,多元金融,603300
嘉欣丝绸,服装家纺,002404
大亚圣象,家居用品,000910
博深股份,通用设备,002282
ST凯利,医疗器械,300326
东方环宇,燃气,603706
阿特斯,光伏设备,688472
国网英大,多元金融,600517
兴瑞科技,汽车零部件,002937
龙版传媒,文化传媒,605577
*ST返利,文化传媒,600228
常青科技,化学制品,603125
大胜达,包装印刷,603687
润都股份,化学制药,002923
中国外运,物流,601598
开开实业,医药商业,600272
中泰证券,证券,600918
大丰实业,专用设备,603081
中兰环保,环境治理,300854
珠免集团,零售,600185
宝莫股份,石油加工贸易,002476
一鸣食品,饮料制造,605179
中科曙光,计算机设备,603019
科远智慧,IT服务,002380
辰安科技,IT服务,300523
五矿发展,贸易,600058
华贸物流,物流,603128
亚士创能,建筑材料,603378
中晶科技,半导体,003026
兆讯传媒,文化传媒,301102
国货航,物流,001391
厦门空港,机场航运,600897
伟星新材,建筑材料,002372
众鑫股份,家居用品,603091
理邦仪器,医疗器械,300206
明阳电气,电网设备,301291
登海种业,种植业与林业,002041
豫园股份,零售,600655
华东医药,化学制药,000963
中巨芯-U,电子化学品,688549
中直股份,军工装备,600038
何氏眼科,医疗服务,301103
海达股份,橡胶制品,300320
天山股份,建筑材料,000877
金牌家居,家居用品,603180
兰生股份,其他社会服务,600826
联泰环保,环境治理,603797
国联民生,证券,601456
*ST波导,消费电子,600130
三木集团,综合,000632
四维图新,软件开发,002405
科华数据,其他电源设备,002335
先导基电,半导体,600641
国电南瑞,电网设备,600406
赣粤高速,公路铁路运输,600269
ST东尼,消费电子,603595
双塔食品,农产品加工,002481
宇晶股份,通用设备,002943
中航高科,军工装备,600862
康德莱,医疗器械,603987
鼎龙科技,化学制品,603004
科沃斯,小家电,603486
引力传媒,文化传媒,603598
华宝股份,化学制品,300741
步步高,零售,002251
武商集团,零售,000501
中国太保,保险,601601
合盛硅业,化学制品,603260
金达莱,环境治理,688057
江苏华辰,电网设备,603097
光正眼科,医疗服务,002524
维尔利,环境治理,300190
永吉股份,包装印刷,603058
益民集团,零售,600824
申达股份,汽车零部件,600626
华利集团,纺织制造,300979
*ST阳光,房地产,000608
中国平安,保险,601318
海联金汇,汽车零部件,002537
中原高速,公路铁路运输,600020
歌华有线,文化传媒,600037
三夫户外,服装家纺,002780
南京商旅,旅游及酒店,600250
六九一二,军工电子,301592
昆药集团,中药,600422
顺丰控股,物流,002352
君禾股份,通用设备,603617
福建高速,公路铁路运输,600033
报 喜 鸟,服装家纺,002154
巨星农牧,养殖业,603477
正泰电器,电网设备,601877
清新环境,环境治理,002573
立霸股份,白色家电,603519
方正证券,证券,601901
汇通控股,汽车零部件,603409
紫江企业,包装印刷,600210
大连重工,专用设备,002204
电魂网络,游戏,603258
中国铁建,建筑装饰,601186
禾丰股份,农产品加工,603609
陕国投Ａ,多元金融,000563
永贵电器,轨交设备,300351
尚荣医疗,医疗器械,002551
禾迈股份,光伏设备,688032
岱美股份,汽车零部件,603730
昆船智能,通用设备,301311
光明地产,房地产,600708
国力电子,其他电子,688103
凯盛新能,光伏设备,600876
氯碱化工,化学原料,600618
天能股份,电池,688819
新钢股份,钢铁,600782
瑞茂通,物流,600180
双箭股份,橡胶制品,002381
山东药玻,医疗器械,600529
国缆检测,其他社会服务,301289
永安林业,种植业与林业,000663
美邦股份,农化制品,605033
安泰集团,煤炭开采加工,600408
*ST东晶,元件,002199
海 利 得,化学纤维,002206
广深铁路,公路铁路运输,601333
安道麦A,农化制品,000553
葵花药业,中药,002737
芒果超媒,文化传媒,300413
华尔泰,化学原料,001217
两面针,美容护理,600249
*ST荣控,房地产,000668
盛天网络,游戏,300494
大龙地产,房地产,600159
福立旺,消费电子,688678
海螺新材,建筑材料,000619
中国中冶,建筑装饰,601618
易德龙,消费电子,603380
龙洲股份,物流,002682
ST德豪,小家电,002005
新华网,文化传媒,603888
中国银行,银行,601988
许继电气,电网设备,000400
辽宁成大,生物制品,600739
广发证券,证券,000776
凯赛生物,化学制品,688065
大悦城,房地产,000031
旷达科技,汽车零部件,002516
深城交,建筑装饰,301091
招商蛇口,房地产,001979
金域医学,医疗服务,603882
新相微,半导体,688593
煌上煌,食品加工制造,002695
物产环能,物流,603071
重庆建工,建筑装饰,600939
富创精密,半导体,688409
达实智能,IT服务,002421
能特科技,化学制药,002102
神力股份,电机,603819
银座股份,零售,600858
*ST新元,专用设备,300472
运达股份,风电设备,300772
华润三九,中药,000999
健康元,化学制药,600380
平高电气,电网设备,600312
云南白药,中药,000538
奥飞娱乐,影视院线,002292
迈得医疗,自动化设备,688310
佳禾食品,饮料制造,605300
上海建工,建筑装饰,600170
大庆华科,石油加工贸易,000985
达仁堂,中药,600329
羚锐制药,中药,600285
建工修复,环境治理,300958
吉林化纤,化学纤维,000420
中国中铁,建筑装饰,601390
立讯精密,消费电子,002475
西宁特钢,钢铁,600117
立高食品,食品加工制造,300973
红旗连锁,零售,002697
老凤祥,服装家纺,600612
杭州解百,零售,600814
茂业商业,零售,600828
东兴证券,证券,601198
红塔证券,证券,601236
上海电力,电力,600021
居然智家,零售,000785
山东出版,文化传媒,601019
劲旅环境,环境治理,001230
中公教育,教育,002607
海量数据,软件开发,603138
磁谷科技,通用设备,688448
中自科技,汽车零部件,688737
皓宸医疗,医疗服务,002622
东阿阿胶,中药,000423
春秋电子,消费电子,603890
贝因美,饮料制造,002570
京沪高铁,公路铁路运输,601816
腾达建设,建筑装饰,600512
中建环能,环境治理,300425
柳    工,工程机械,000528
全通教育,教育,300359
新赛股份,种植业与林业,600540
深振业Ａ,房地产,000006
会畅科技,通信服务,300578
首都在线,通信服务,300846
人民同泰,医药商业,600829
乔治白,服装家纺,002687
中南股份,钢铁,000717
北汽蓝谷,汽车整车,600733
江铃汽车,汽车整车,000550
智翔金泰-U,生物制品,688443
丽珠集团,化学制药,000513
海康威视,计算机设备,002415
栖霞建设,房地产,600533
美芝股份,建筑装饰,002856
长鸿高科,塑料制品,605008
上海汽配,汽车零部件,603107
丽尚国潮,零售,600738
华鑫股份,证券,600621
凤竹纺织,纺织制造,600493
*ST云网,旅游及酒店,002306
西部创业,公路铁路运输,000557
朗新科技,IT服务,300682
鸿日达,消费电子,301285
科源制药,化学制药,301281
鞍钢股份,钢铁,000898
浙大网新,IT服务,600797
第一医药,医药商业,600833
中青旅,旅游及酒店,600138
山外山,医疗器械,688410
中新赛克,计算机设备,002912
浙富控股,环境治理,002266
天龙股份,汽车零部件,603266
赛轮轮胎,汽车零部件,601058
航新科技,军工装备,300424
晨光股份,家居用品,603899
华润双鹤,化学制药,600062
海信家电,白色家电,000921
回天新材,化学制品,300041
晶科能源,光伏设备,688223
胜通能源,燃气,001331
海大集团,农产品加工,002311
江西长运,公路铁路运输,600561
友邦吊顶,建筑材料,002718
茂化实华,石油加工贸易,000637
渤海股份,环境治理,000605
读者传媒,文化传媒,603999
白云机场,机场航运,600004
雪峰科技,化学制品,603227
麦澜德,医疗器械,688273
天新药业,化学制药,603235
ST合纵,电网设备,300477
海立股份,白色家电,600619
新联电子,电网设备,002546
国机重装,专用设备,601399
卓郎智能,专用设备,600545
鼎阳科技,通用设备,688112
开创国际,养殖业,600097
浩辰软件,软件开发,688657
国泰集团,化学制品,603977
贝斯美,农化制品,300796
湘电股份,电机,600416
润和软件,IT服务,300339
至信股份,汽车零部件,603352
同力天启,专用设备,605286
索菲亚,家居用品,002572
福赛科技,汽车零部件,301529
凌霄泵业,通用设备,002884
上海电影,影视院线,601595
开润股份,服装家纺,300577
分众传媒,文化传媒,002027
中恒电气,其他电源设备,002364
东吴证券,证券,601555
合兴股份,汽车零部件,605005
仁信新材,塑料制品,301395
华大九天,软件开发,301269
国网信通,IT服务,600131
中文传媒,文化传媒,600373
东港股份,包装印刷,002117
舜禹股份,环境治理,301519
金春股份,纺织制造,300877
溢多利,化学制药,300381
广博股份,家居用品,002103
瀚川智能,专用设备,688022
甬金股份,钢铁,603995
雅博股份,建筑装饰,002323
景业智能,自动化设备,688290
上海家化,美容护理,600315
星德胜,电机,603344
中瓷电子,通信设备,003031
兴齐眼药,化学制药,300573
微电生理,医疗器械,688351
